NO_ECON_OVER_ENV,MAN,AGE,HABITAT,LAB_STATUS_R,LOG_INCOME_R,IND_NA_INCOME,IDEOL
1,1,46,b. 10k-150k hab,Treballa,7.60423563130709,1,5.0
0,0,45,b. 10k-150k hab,Treballa,6.62007320653036,0,5.0
0,0,55,b. 10k-150k hab,Treballa,7.00306545878646,0,
1,0,70,b. 10k-150k hab,No treballa,7.3132203870903,0,4.0
1,0,23,b. 10k-150k hab,No treballa,7.54960916515453,0,4.0
0,1,32,b. 10k-150k hab,No treballa,6.62007320653036,0,5.0
0,0,60,b. 10k-150k hab,No treballa,7.00306545878646,0,5.0
1,1,63,b. 10k-150k hab,No treballa,7.00306545878646,0,5.0
0,0,25,b. 10k-150k hab,No treballa,7.3132203870903,0,4.0
1,1,66,b. 10k-150k hab,No treballa,7.3132203870903,0,5.0
1,1,21,b. 10k-150k hab,No treballa,7.3132203870903,0,5.0
0,1,71,a. >150k hab,No treballa,7.3132203870903,0,
0,0,56,a. >150k hab,No treballa,7.60423563130709,1,5.0
1,1,39,a. >150k hab,Treballa,7.54960916515453,0,3.0
1,1,51,a. >150k hab,No treballa,6.85646198459459,0,10.0
1,1,64,a. >150k hab,No treballa,7.54960916515453,0,
1,1,32,a. >150k hab,Treballa,7.60423563130709,1,4.0
1,0,25,a. >150k hab,No treballa,7.60423563130709,1,5.0
1,1,29,c. <10k hab,Treballa,7.3132203870903,0,3.0
1,0,49,b. 10k-150k hab,Treballa,8.77955745588373,0,6.0
1,0,49,b. 10k-150k hab,No treballa,7.00306545878646,0,5.0
0,0,65,b. 10k-150k hab,No treballa,6.62007320653036,0,5.0
1,0,61,b. 10k-150k hab,No treballa,8.35467426191846,0,2.0
1,0,65,b. 10k-150k hab,No treballa,7.60423563130709,1,4.0
0,1,69,c. <10k hab,No treballa,7.54960916515453,0,1.0
0,1,81,c. <10k hab,No treballa,8.1605182474775,0,5.0
0,0,59,b. 10k-150k hab,Treballa,7.3132203870903,0,7.0
1,0,59,b. 10k-150k hab,No treballa,7.90100705199242,0,3.0
1,1,68,b. 10k-150k hab,No treballa,7.3132203870903,0,5.0
1,1,58,b. 10k-150k hab,Treballa,8.61250337122056,0,3.0
1,1,18,b. 10k-150k hab,No treballa,7.60423563130709,1,4.0
1,0,49,b. 10k-150k hab,Treballa,7.60423563130709,1,2.0
1,1,47,b. 10k-150k hab,Treballa,7.60423563130709,1,3.0
1,1,34,c. <10k hab,Treballa,7.90100705199242,0,4.0
0,0,47,c. <10k hab,No treballa,7.69621263934641,0,5.0
0,0,56,c. <10k hab,Treballa,7.90100705199242,0,5.0
1,0,55,c. <10k hab,Treballa,7.3132203870903,0,4.0
1,0,65,c. <10k hab,No treballa,7.60423563130709,1,2.0
0,0,58,b. 10k-150k hab,No treballa,6.10924758276437,0,4.0
1,0,60,b. 10k-150k hab,No treballa,7.3132203870903,0,4.0
1,1,33,b. 10k-150k hab,No treballa,6.10924758276437,0,5.0
1,0,87,a. >150k hab,No treballa,8.1605182474775,0,5.0
1,1,22,a. >150k hab,No treballa,7.69621263934641,0,2.0
1,0,67,b. 10k-150k hab,No treballa,7.60423563130709,1,3.0
1,0,35,b. 10k-150k hab,Treballa,7.3132203870903,0,
1,0,19,b. 10k-150k hab,Treballa,7.60423563130709,1,2.0
1,0,52,b. 10k-150k hab,Treballa,8.1605182474775,0,5.0
0,1,36,b. 10k-150k hab,Treballa,7.90100705199242,0,6.0
0,1,27,c. <10k hab,No treballa,7.60423563130709,1,3.0
1,1,35,c. <10k hab,No treballa,0.0,0,5.0
1,0,41,c. <10k hab,Treballa,7.60423563130709,1,5.0
1,0,25,c. <10k hab,Treballa,7.60423563130709,1,3.0
0,1,66,c. <10k hab,No treballa,7.60423563130709,1,6.0
0,0,53,c. <10k hab,Treballa,7.90100705199242,0,
0,1,83,c. <10k hab,No treballa,6.10924758276437,0,5.0
1,1,46,c. <10k hab,Treballa,7.60423563130709,1,5.0
0,0,56,c. <10k hab,Treballa,7.60423563130709,1,5.0
0,0,30,c. <10k hab,Treballa,7.3132203870903,0,3.0
1,1,27,b. 10k-150k hab,Treballa,7.54960916515453,0,5.0
0,1,65,c. <10k hab,No treballa,6.85646198459459,0,4.0
0,1,70,c. <10k hab,No treballa,6.85646198459459,0,
0,1,65,c. <10k hab,No treballa,6.85646198459459,0,
0,1,62,c. <10k hab,Treballa,5.01063529409626,0,3.0
0,0,67,c. <10k hab,No treballa,7.60423563130709,1,8.0
0,0,62,c. <10k hab,Treballa,6.62007320653036,0,3.0
0,1,83,c. <10k hab,No treballa,6.62007320653036,0,6.0
0,1,29,b. 10k-150k hab,Treballa,7.60423563130709,1,5.0
1,1,51,b. 10k-150k hab,Treballa,7.69621263934641,0,5.0
1,1,45,b. 10k-150k hab,Treballa,7.3132203870903,0,5.0
0,0,45,c. <10k hab,No treballa,7.60423563130709,1,2.0
1,0,50,c. <10k hab,Treballa,7.60423563130709,1,7.0
0,0,27,c. <10k hab,Treballa,7.00306545878646,0,5.0
0,1,43,c. <10k hab,Treballa,7.54960916515453,0,5.0
0,1,38,c. <10k hab,Treballa,7.00306545878646,0,5.0
0,0,75,b. 10k-150k hab,No treballa,6.85646198459459,0,5.0
1,0,50,b. 10k-150k hab,Treballa,7.60423563130709,1,4.0
0,0,61,b. 10k-150k hab,Treballa,7.3132203870903,0,5.0
1,0,48,b. 10k-150k hab,Treballa,6.85646198459459,0,1.0
1,1,37,b. 10k-150k hab,No treballa,7.3132203870903,0,0.0
0,0,70,b. 10k-150k hab,No treballa,7.00306545878646,0,5.0
0,1,81,b. 10k-150k hab,No treballa,7.69621263934641,0,5.0
0,1,20,b. 10k-150k hab,No treballa,7.60423563130709,1,
1,0,56,c. <10k hab,Treballa,7.60423563130709,1,1.0
1,1,39,c. <10k hab,Treballa,7.3132203870903,0,3.0
0,0,50,c. <10k hab,Treballa,7.3132203870903,0,6.0
0,1,76,c. <10k hab,No treballa,7.60423563130709,1,5.0
