"sold","price","rural","pool","surface","habSize","region"
0,506000,"No","No",257,"(50000,1000000]","36"
0,159188,"No","No",117.05,"(50000,1000000]","04"
0,399000,"No","No",195.54,"(10000,50000]  ","02"
0,142000,"No","No",110.67,"(0,10000]      ","19"
0,235400,"No","No",80,"(10000,50000]  ","02"
1,166500,"No","No",137.62,"(10000,50000]  ","01"
1,290000,"No","No",130,"(10000,50000]  ","13"
1,174000,"No","No",230.28,"(0,10000]      ","18"
0,366500,"No","No",199,"(0,10000]      ","27"
0,259711.2,"No","No",121.82,"(10000,50000]  ","01"
1,150000,"No","No",156.2,"(10000,50000]  ","04"
1,170000,"No","No",230.28,"(0,10000]      ","18"
1,250000,"No","No",148.8,"(50000,1000000]","02"
1,180762.819884302,"No","No",121.72,"(50000,1000000]","09"
0,132041,"No","No",92.66,"(10000,50000]  ","03"
1,140000,"No","No",98,"(0,10000]      ","01"
0,309000,"No","No",244.21,"(0,10000]      ","12"
0,92000,"No","No",97,"(50000,1000000]","11"
1,120000,"No","No",110.77,"(0,10000]      ","11"
1,230000,"No","No",122.32,"(0,10000]      ","03"
1,150000,"No","No",217.63,"(0,10000]      ","24"
0,170000,"Yes","No",276,"(0,10000]      ","01"
0,299990,"No","No",202.3,"(0,10000]      ","01"
1,348400,"No","No",151.78,"(50000,1000000]","01"
0,164500,"No","No",129.85,"(10000,50000]  ","02"
0,230000,"No","No",106.14,"(0,10000]      ","02"
0,240000,"No","Yes",124.7,"(10000,50000]  ","01"
0,197500,"No","No",223,"(0,10000]      ","33"
0,165000,"Yes","No",117.2,"(50000,1000000]","10"
0,116660,"No","No",144.63,"(50000,1000000]","02"
0,87900,"No","No",82.44,"(50000,1000000]","02"
1,120549.16,"No","No",139.88,"(0,10000]      ","01"
0,290000,"No","No",168.19,"(0,10000]      ","01"
1,125000,"No","No",210.24,"(0,10000]      ","01"
1,220000,"No","No",98.15,"(0,10000]      ","01"
1,250000,"No","No",147.87,"(10000,50000]  ","01"
0,462627,"No","No",229.48,"(10000,50000]  ","03"
0,275000,"No","No",176.5,"(0,10000]      ","01"
0,319000,"No","No",281.99,"(10000,50000]  ","02"
0,218449.5,"No","Yes",105.05,"(0,10000]      ","02"
0,141000,"No","No",84.55,"(50000,1000000]","02"
0,284000,"No","No",222.75,"(10000,50000]  ","02"
0,141000,"No","No",84.55,"(50000,1000000]","02"
0,80000,"Yes","No",154,"(0,10000]      ","13"
0,138900,"No","No",191,"(0,10000]      ","01"
0,444500,"No","Yes",225.6,"(0,10000]      ","14"
0,278065.77,"No","No",256.7,"(10000,50000]  ","02"
0,172700,"No","No",60,"(10000,50000]  ","02"
1,190000,"No","No",156.18,"(50000,1000000]","04"
0,115000,"No","No",88,"(50000,1000000]","02"
1,295000,"No","No",156.66,"(10000,50000]  ","08"
0,273000,"No","No",244.33,"(10000,50000]  ","03"
0,198606.4,"No","No",98.32,"(10000,50000]  ","06"
0,164500,"No","No",116.46,"(50000,1000000]","10"
0,319000,"No","No",281.99,"(10000,50000]  ","02"
0,312500,"No","No",208.68,"(10000,50000]  ","01"
1,290000,"No","No",198,"(10000,50000]  ","14"
0,265000,"No","No",211.97,"(50000,1000000]","32"
0,340700,"No","No",177.86,"(0,10000]      ","14"
0,169840,"No","No",62,"(10000,50000]  ","02"
0,88100,"No","No",82.44,"(50000,1000000]","02"
0,399000,"No","No",199.99,"(10000,50000]  ","02"
0,222500,"No","No",196,"(50000,1000000]","19"
0,319000,"No","No",281.99,"(10000,50000]  ","02"
0,239443.2,"No","No",189.2,"(10000,50000]  ","01"
0,244931.18,"No","No",218.69,"(0,10000]      ","07"
1,128700,"No","No",175.45,"(0,10000]      ","22"
0,336000,"No","No",244.66,"(0,10000]      ","12"
0,161000,"No","No",131.15,"(10000,50000]  ","02"
0,329410.25,"No","No",223.81,"(50000,1000000]","18"
0,115420,"No","No",66.7,"(50000,1000000]","04"
0,128156,"No","No",164.93,"(50000,1000000]","02"
0,236746.96,"No","No",174.75,"(0,10000]      ","01"
1,78000,"No","Yes",63.98,"(50000,1000000]","02"
0,250000,"No","No",216,"(50000,1000000]","20"
0,206000,"No","No",179,"(0,10000]      ","30"
0,222500,"No","No",211.42,"(0,10000]      ","03"
0,218000,"No","No",168.5,"(50000,1000000]","01"
0,325000,"No","No",168.31,"(10000,50000]  ","02"
0,334604.5,"No","No",228.48,"(50000,1000000]","18"
0,110000,"No","No",108,"(0,10000]      ","05"
0,171700,"No","No",139,"(0,10000]      ","07"
0,85000,"No","No",73.36,"(0,10000]      ","02"
0,302000,"No","No",129.15,"(0,10000]      ","02"
0,147000,"No","No",62,"(50000,1000000]","03"
0,302000,"No","No",125.72,"(0,10000]      ","02"
0,196880,"No","No",123.05,"(50000,1000000]","04"
0,450000,"No","No",194.68,"(10000,50000]  ","02"
0,192543,"No","No",112.63,"(10000,50000]  ","06"
1,335000,"No","Yes",169.8,"(10000,50000]  ","01"
0,226500,"No","No",160,"(0,10000]      ","27"
0,172700,"No","No",60,"(10000,50000]  ","02"
0,399000,"No","No",195.54,"(10000,50000]  ","02"
0,176500,"No","No",97.05,"(10000,50000]  ","04"
1,126375,"No","No",102.66,"(0,10000]      ","06"
0,141500,"No","No",115,"(10000,50000]  ","04"
0,257407.41,"No","No",219.65,"(10000,50000]  ","05"
1,125000,"No","No",76,"(50000,1000000]","02"
0,151000,"No","No",248.34,"(0,10000]      ","04"
1,450000,"No","No",142.46,"(0,10000]      ","08"
1,240381,"No","No",205.95,"(0,10000]      ","03"
0,230000,"No","No",106.14,"(0,10000]      ","02"
0,275789,"No","No",183,"(10000,50000]  ","02"
1,175000,"No","No",113,"(10000,50000]  ","05"
0,115000,"No","No",88,"(50000,1000000]","02"
0,297000,"No","No",128,"(10000,50000]  ","08"
0,254023.17,"No","No",224.42,"(0,10000]      ","07"
1,159000,"No","No",60,"(10000,50000]  ","02"
0,255500,"No","No",208.68,"(10000,50000]  ","01"
1,268500,"No","No",115.2,"(10000,50000]  ","08"
0,108000,"No","No",64.66,"(10000,50000]  ","10"
0,278059.93,"No","No",257.5,"(10000,50000]  ","02"
0,175149,"No","No",184.27,"(0,10000]      ","03"
0,425600,"No","No",183.6,"(50000,1000000]","08"
0,124600,"No","No",102,"(0,10000]      ","05"
0,242000,"No","No",180.2,"(0,10000]      ","01"
1,148100,"No","No",182.68,"(0,10000]      ","03"
0,330000,"No","No",168.31,"(10000,50000]  ","02"
0,105000,"Yes","No",96,"(50000,1000000]","13"
0,152000,"No","No",176.76,"(10000,50000]  ","02"
1,160000,"No","No",158.36,"(10000,50000]  ","03"
0,173793,"No","No",93.23,"(10000,50000]  ","06"
0,176000,"No","No",60,"(10000,50000]  ","02"
0,325000,"No","No",185.74,"(10000,50000]  ","10"
0,292000,"No","No",196,"(10000,50000]  ","01"
1,240689.63,"No","Yes",150.15,"(0,10000]      ","01"
0,319000,"No","No",281.99,"(10000,50000]  ","02"
0,124600,"No","No",102,"(0,10000]      ","05"
1,390000,"No","No",232.8,"(10000,50000]  ","01"
0,111500,"Yes","No",217,"(0,10000]      ","34"
0,300100,"No","Yes",87.65,"(10000,50000]  ","13"
0,278500,"No","No",101.5,"(10000,50000]  ","01"
0,194673.6,"No","No",98.32,"(10000,50000]  ","06"
0,230000,"No","No",158.93,"(0,10000]      ","01"
0,152000,"No","No",143.39,"(0,10000]      ","02"
0,115000,"No","No",88,"(50000,1000000]","02"
1,260000,"No","No",247.24,"(50000,1000000]","01"
0,130997,"No","No",132,"(10000,50000]  ","05"
0,320000,"No","No",180.19,"(0,10000]      ","01"
0,460000,"No","No",265.17,"(10000,50000]  ","08"
0,322000,"No","No",95.388,"(50000,1000000]","02"
0,460000,"No","No",265.17,"(10000,50000]  ","08"
0,129000,"No","No",126.72,"(0,10000]      ","05"
1,390000,"No","No",232.8,"(10000,50000]  ","01"
0,138900,"No","No",191,"(0,10000]      ","01"
0,138212,"No","No",138.67,"(0,10000]      ","25"
0,269500,"No","No",93,"(10000,50000]  ","02"
0,297000,"No","No",244.21,"(0,10000]      ","12"
0,226150.4,"No","No",100.96,"(10000,50000]  ","06"
0,290000,"No","No",168.19,"(0,10000]      ","01"
1,163000,"No","No",104.16,"(50000,1000000]","04"
0,257407.41,"No","No",219.65,"(10000,50000]  ","05"
1,158400,"No","No",177,"(10000,50000]  ","02"
0,154525,"No","No",129.95,"(0,10000]      ","11"
1,138750,"No","No",142.19,"(0,10000]      ","01"
0,278146.61,"No","No",161,"(0,10000]      ","03"
0,144716.88,"No","No",126.06,"(0,10000]      ","05"
1,180000,"No","No",228.31,"(50000,1000000]","22"
0,240000,"No","No",231,"(50000,1000000]","15"
0,482000,"No","No",216,"(0,10000]      ","14"
1,240000,"No","Yes",124.7,"(10000,50000]  ","01"
0,115000,"No","No",88,"(50000,1000000]","02"
0,135000,"No","Yes",102.29,"(0,10000]      ","01"
1,152000,"No","No",227.39,"(10000,50000]  ","03"
0,278146.61,"No","No",161,"(0,10000]      ","03"
0,319000,"No","No",286.77,"(10000,50000]  ","02"
0,265613.02,"No","No",221.53,"(0,10000]      ","07"
0,234500,"No","No",211.42,"(0,10000]      ","03"
1,310000,"No","No",185.74,"(10000,50000]  ","10"
0,462627,"No","No",229.48,"(10000,50000]  ","03"
0,318000,"No","No",236.26,"(0,10000]      ","12"
0,317000,"No","Yes",280,"(10000,50000]  ","07"
0,160000,"No","No",156,"(10000,50000]  ","02"
0,252700,"No","No",96,"(10000,50000]  ","02"
0,220000,"No","No",82.8,"(0,10000]      ","26"
0,435005,"No","No",237.8,"(50000,1000000]","09"
0,172700,"No","No",60,"(10000,50000]  ","02"
0,432000,"No","No",202.04,"(0,10000]      ","03"
0,275000,"No","No",168.19,"(0,10000]      ","01"
0,89000,"No","Yes",77,"(0,10000]      ","01"
0,230606,"No","No",120.41,"(10000,50000]  ","06"
0,172700,"No","No",60,"(10000,50000]  ","02"
0,185168,"No","No",134.89,"(0,10000]      ","05"
0,115000,"No","No",88,"(50000,1000000]","02"
0,173700,"No","No",110,"(0,10000]      ","01"
0,460000,"No","No",265.17,"(10000,50000]  ","08"
0,218449.5,"No","Yes",103.19,"(0,10000]      ","02"
1,190000,"No","No",171.74,"(50000,1000000]","09"
1,518500,"No","No",292.44,"(50000,1000000]","03"
0,245000,"No","No",186,"(50000,1000000]","20"
1,110000,"No","Yes",66.74,"(50000,1000000]","02"
0,194673.6,"No","No",98.32,"(10000,50000]  ","06"
0,151000,"No","No",252.78,"(0,10000]      ","04"
0,192707.2,"No","No",98.32,"(10000,50000]  ","06"
0,257240,"No","No",198.9,"(10000,50000]  ","01"
1,202500,"No","No",223,"(10000,50000]  ","03"
1,229000,"No","No",213,"(0,10000]      ","01"
0,220547.55,"No","Yes",103.19,"(0,10000]      ","02"
0,275000,"No","No",176.5,"(0,10000]      ","01"
0,319000,"No","No",281.99,"(10000,50000]  ","02"
0,158166,"No","No",107.45,"(50000,1000000]","02"
1,231347.34,"No","No",170.4,"(10000,50000]  ","05"
0,243500,"No","Yes",244,"(10000,50000]  ","03"
0,329000,"No","No",180.19,"(0,10000]      ","01"
0,231110,"No","No",80,"(10000,50000]  ","02"
0,170000,"No","No",115,"(0,10000]      ","05"
1,138742,"No","No",114.15,"(10000,50000]  ","05"
0,159188,"No","No",117.05,"(50000,1000000]","04"
1,225000,"No","No",125.1,"(10000,50000]  ","02"
0,385000,"No","No",289.2,"(50000,1000000]","01"
1,160000,"No","Yes",105.56,"(10000,50000]  ","09"
0,240000,"No","Yes",124.7,"(10000,50000]  ","01"
0,158900,"No","No",129.48,"(10000,50000]  ","02"
0,243736.96,"No","No",174.75,"(0,10000]      ","01"
0,216000,"No","No",204.02,"(10000,50000]  ","03"
1,161000,"No","No",106.14,"(0,10000]      ","02"
0,65300,"No","No",63,"(10000,50000]  ","11"
0,269500,"No","No",93,"(10000,50000]  ","02"
0,275000,"No","No",176.5,"(0,10000]      ","01"
0,168000,"No","No",53,"(0,10000]      ","02"
0,255000,"No","No",136.28,"(10000,50000]  ","03"
0,216000,"No","No",204.02,"(10000,50000]  ","03"
0,262489.6,"No","No",120.83,"(10000,50000]  ","01"
0,560000,"No","No",142.75,"(10000,50000]  ","08"
0,231000,"No","No",152.52,"(10000,50000]  ","02"
0,525000,"No","No",142.75,"(10000,50000]  ","08"
0,1e+05,"Yes","No",156,"(10000,50000]  ","01"
1,260000,"No","No",251.05,"(50000,1000000]","01"
1,128350,"No","No",248.34,"(0,10000]      ","04"
0,222500,"No","No",210.92,"(0,10000]      ","03"
0,167500,"No","No",144,"(10000,50000]  ","04"
0,170100,"No","No",283,"(10000,50000]  ","01"
0,233880,"No","No",106.72,"(50000,1000000]","09"
1,249390.62199731,"No","No",240,"(0,10000]      ","01"
0,259259.26,"No","No",219.65,"(10000,50000]  ","05"
0,239000,"No","No",252,"(50000,1000000]","07"
1,130000,"No","No",79.98,"(0,10000]      ","03"
1,171000,"No","Yes",103.19,"(0,10000]      ","02"
0,360000,"No","No",274.8,"(0,10000]      ","31"
0,138900,"No","No",191,"(0,10000]      ","01"
0,280000,"No","No",168.19,"(0,10000]      ","01"
0,268000,"No","No",168.19,"(0,10000]      ","01"
1,101981.295240536,"No","No",89.69,"(0,10000]      ","01"
0,187000,"No","No",110.5,"(10000,50000]  ","02"
1,260000,"No","No",231.67,"(50000,1000000]","01"
0,164450,"No","No",60,"(10000,50000]  ","02"
0,225000,"No","No",119.33,"(0,10000]      ","01"
0,180000,"No","No",54.67,"(0,10000]      ","03"
1,296694.507719565,"No","Yes",249.58,"(10000,50000]  ","02"
1,128350,"No","No",251.78,"(0,10000]      ","04"
1,101981.295240536,"No","No",89.69,"(0,10000]      ","01"
0,229000,"No","Yes",141,"(50000,1000000]","01"
0,199000,"No","No",99.44,"(0,10000]      ","06"
0,74000,"Yes","No",80,"(10000,50000]  ","01"
1,241290,"No","No",171.108,"(10000,50000]  ","10"
1,460000,"No","No",269.57,"(10000,50000]  ","16"
1,1e+05,"No","Yes",88.49,"(0,10000]      ","02"
0,435005,"No","No",237.8,"(50000,1000000]","09"
0,149500,"No","No",159,"(0,10000]      ","04"
1,170000,"No","No",173.9,"(10000,50000]  ","04"
0,310000,"No","Yes",112.38,"(10000,50000]  ","06"
0,220000,"No","No",195.6,"(50000,1000000]","01"
1,274607.091830108,"No","No",231.67,"(50000,1000000]","01"
0,360000,"No","No",100.83,"(50000,1000000]","08"
1,160000,"No","No",204.23,"(0,10000]      ","03"
1,129500,"No","No",142.19,"(0,10000]      ","01"
0,368200,"No","No",207.74,"(0,10000]      ","14"
0,78000,"No","No",68,"(0,10000]      ","02"
1,288000,"No","No",247.36,"(50000,1000000]","01"
0,259259.26,"No","No",219.65,"(10000,50000]  ","05"
0,149500,"No","No",155,"(0,10000]      ","04"
1,390000,"No","No",232.8,"(10000,50000]  ","01"
0,124600,"No","No",102,"(0,10000]      ","05"
1,234991.665849593,"No","No",186.8,"(50000,1000000]","09"
1,375000,"No","No",92.82,"(10000,50000]  ","08"
0,229977,"No","No",120.41,"(10000,50000]  ","06"
0,251348.14,"No","No",224.39,"(0,10000]      ","07"
0,178400,"No","No",114,"(0,10000]      ","07"
1,166500,"No","No",137.62,"(10000,50000]  ","01"
0,150000,"No","No",218.4,"(0,10000]      ","02"
0,176000,"No","No",60,"(10000,50000]  ","02"
0,191958,"No","No",123.05,"(50000,1000000]","04"
0,220547.55,"No","Yes",103.19,"(0,10000]      ","02"
0,282000,"No","No",226.57,"(0,10000]      ","12"
1,251360,"No","No",176.76,"(0,10000]      ","01"
0,415475,"No","No",209.12,"(0,10000]      ","01"
1,86000,"No","No",70.9,"(0,10000]      ","02"
1,150000,"No","No",161.9,"(10000,50000]  ","03"
0,153000,"No","Yes",80,"(10000,50000]  ","02"
0,280000,"No","No",168.19,"(0,10000]      ","01"
0,161500,"No","No",76,"(50000,1000000]","07"
1,103605,"No","Yes",94,"(0,10000]      ","01"
0,135000,"No","No",96,"(10000,50000]  ","15"
0,276500,"No","No",109.01,"(0,10000]      ","14"
1,297000,"No","No",253.03,"(50000,1000000]","01"
0,425000,"No","No",254.94,"(0,10000]      ","12"
0,198500,"No","Yes",108.04,"(0,10000]      ","01"
0,322000,"No","No",168.31,"(10000,50000]  ","02"
1,115000,"No","No",94.11,"(0,10000]      ","01"
0,196451,"No","No",186.19,"(10000,50000]  ","01"
0,181000,"No","No",140.14,"(0,10000]      ","01"
0,180000,"No","No",144,"(0,10000]      ","05"
0,131200,"No","No",105,"(10000,50000]  ","04"
0,151000,"No","No",248.34,"(0,10000]      ","04"
0,191739,"No","No",112.63,"(10000,50000]  ","06"
1,115000,"No","No",108.42,"(10000,50000]  ","10"
0,320000,"No","No",168.31,"(10000,50000]  ","02"
0,136700,"No","No",80,"(50000,1000000]","10"
0,196640,"No","No",98.32,"(10000,50000]  ","06"
0,203000,"No","Yes",191,"(0,10000]      ","01"
