"IDH","NIVELL","PAIS","ESPVIDA","PIB","ALFAB","CONT","CALORIES","HABMETG","DIARIS","TV","SANITAT","AGRICULT","INDUST"
27,"high","Luxemburg       ",75.7,35800,99,"Europa",NA,NA,38,27,NA,3,31
13,"high","Suissa          ",78,36730,99,"Europa",3565,585,39,41,NA,6,34
82,"mid","Albania         ",72,NA,85,"Europa",NA,730,5,9,NA,56,19
34,"high","Malta           ",76.1,NA,95,"Europa",3238,NA,15,74,NA,3,28
101,"mid","Liban           ",68.5,NA,91.4,"Asia",3319,413,18,32,NA,14,27
106,"mid","Irak            ",66,NA,54.6,"Asia",2122,1667,3,7,NA,14,19
73,"mid","Libia           ",63.1,NA,72.4,"Africa",3310,962,2,10,NA,20,30
78,"mid","Siria           ",67.1,NA,67.7,"Asia",3175,1220,2,6,0.4,23,29
72,"mid","Cuba            ",75.3,NA,94.9,"America",2833,332,12,16,NA,24,29
110,"mid","Mongolia        ",63.7,NA,81.1,"Asia",1899,389,9,NA,NA,40,21
83,"mid","Corea Rep Dem   ",71.1,NA,90,"Asia",2834,NA,22,2,NA,43,30
170,"low","Afganistan      ",43.5,NA,28.9,"Asia",1523,7692,1,1,NA,61,14
137,"low","Yemen           ",50.2,NA,32,"Asia",2203,4348,2,3,1.5,63,11
120,"mid","Vietnam         ",65.2,NA,91.9,"Asia",2250,247,1,4,1.1,67,12
148,"low","Haiti           ",56.6,NA,42.6,"America",1707,7143,1,0,3.2,68,9
132,"low","Myanmar         ",57.6,NA,82,NA,2598,12500,1,0,NA,70,9
143,"low","Zaire           ",52,NA,74.1,"Africa",2060,14286,0,0,0.8,71,13
144,"low","Sudan           ",53,NA,42.7,"Africa",2202,10190,2,8,0.5,72,5
164,"low","Angola          ",46.5,NA,36,"Africa",1840,25000,1,1,NA,73,10
153,"low","Camboia         ",51.6,NA,29,"Asia",2065,NA,NA,1,NA,74,7
159,"low","Liberia         ",55.4,NA,35.4,"Africa",1640,9340,1,2,NA,75,9
166,"low","Somalia         ",47,NA,17,"Africa",1505,19950,0,1,0.9,76,8
41,"high","Brunei          ",74.2,NA,86.4,"Asia",2745,NA,7,24,NA,NA,NA
154,"low","Djibuti         ",48.3,NA,43.2,"Africa",NA,1000,NA,5,NA,NA,NA
